시간 298 : 작업 : 982 종료(도착시간 : 53, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 245, 최종우선순위 : 10)
시간 588 : 작업 : 325 종료(도착시간 : 28, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 560, 최종우선순위 : 11)
시간 698 : 작업 : 142 종료(도착시간 : 142, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 556, 최종우선순위 : 8)
시간 928 : 작업 : 507 종료(도착시간 : 241, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 687, 최종우선순위 : 6)
시간 1138 : 작업 : 795 종료(도착시간 : 530, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 608, 최종우선순위 : 5)
시간 1518 : 작업 : 889 종료(도착시간 : 704, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 814, 최종우선순위 : 8)
시간 2428 : 작업 : 156 종료(도착시간 : 1926, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 502, 최종우선순위 : 4)
시간 2498 : 작업 : 288 종료(도착시간 : 1650, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 848, 최종우선순위 : 6)
시간 2508 : 작업 : 773 종료(도착시간 : 2003, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 505, 최종우선순위 : 5)
시간 2938 : 작업 : 897 종료(도착시간 : 2438, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 500, 최종우선순위 : 6)
시간 3358 : 작업 : 261 종료(도착시간 : 1588, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 1770, 최종우선순위 : 7)
시간 4198 : 작업 : 92 종료(도착시간 : 2510, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 1688, 최종우선순위 : 7)
시간 4338 : 작업 : 5 종료(도착시간 : 2995, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 1343, 최종우선순위 : 7)
시간 4538 : 작업 : 256 종료(도착시간 : 3527, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 1011, 최종우선순위 : 7)
시간 4568 : 작업 : 599 종료(도착시간 : 3964, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 604, 최종우선순위 : 6)
시간 5488 : 작업 : 538 종료(도착시간 : 4882, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 606, 최종우선순위 : 6)
시간 6428 : 작업 : 338 종료(도착시간 : 5686, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 742, 최종우선순위 : 5)
시간 6488 : 작업 : 847 종료(도착시간 : 5974, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 514, 최종우선순위 : 4)
시간 7088 : 작업 : 393 종료(도착시간 : 6249, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 839, 최종우선순위 : 6)
시간 7248 : 작업 : 24 종료(도착시간 : 6729, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 519, 최종우선순위 : 4)
시간 7618 : 작업 : 831 종료(도착시간 : 6840, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 778, 최종우선순위 : 6)
시간 7718 : 작업 : 755 종료(도착시간 : 6747, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 971, 최종우선순위 : 6)
시간 8188 : 작업 : 613 종료(도착시간 : 7375, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 813, 최종우선순위 : 6)
시간 8218 : 작업 : 658 종료(도착시간 : 7604, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 614, 최종우선순위 : 5)
시간 8388 : 작업 : 879 종료(도착시간 : 5093, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 3295, 최종우선순위 : 7)
시간 8838 : 작업 : 694 종료(도착시간 : 8329, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 509, 최종우선순위 : 5)
시간 10218 : 작업 : 761 종료(도착시간 : 9492, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 726, 최종우선순위 : 6)
시간 10608 : 작업 : 734 종료(도착시간 : 10103, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 505, 최종우선순위 : 4)
시간 10918 : 작업 : 502 종료(도착시간 : 10396, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 522, 최종우선순위 : 6)
